Argument (Default value),Description
#returnFocus true,Set to false if you don't want to return the focus to the element that invoked the modal after the modal is closed.
#focusDeny false,"Set to true if you want to focus the ""Deny""-button by default."
#focusCancel false,"Set to true if you want to focus the ""Cancel""-button by default."
#showCloseButton false,Set to true to show close button in top right corner of the popup.
#closeButtonHtml '&times;',Use this to change the content of the close button.
#closeButtonAriaLabel 'Close this dialog',Use this to change the aria-label for the close button.
#loaderHtml '',Use this to change the HTML content of the loader.
#showLoaderOnConfirm false,Set to true to disable buttons and show the loader instead of the Confirm button. Use it in combination with the preConfirm parameter.
#showLoaderOnDeny false,Set to true to disable buttons and show the loader instead of the Deny button. Use it in combination with the preDeny parameter.
#scrollbarPadding true,Set to false to disable body padding adjustment when the page scrollbar gets hidden while the popup is shown
#preConfirm undefined,"Function to execute before confirming, may be async (Promise-returning) or sync. Returned (or resolved) value can be:false to prevent a popup from closinganything else to pass that value as the result.value of Swal.fire()undefined to keep the default result.valueSee usage example."
#preDeny undefined,"Function to execute before denying, may be async (Promise-returning) or sync. Returned (or resolved) value can be:false to prevent a popup from closinganything else to pass that value as the result.value of Swal.fire()undefined to keep the default result.value"
#returnInputValueOnDeny false,"If you want to return the input value as result.value when denying the popup, set to true. Otherwise, the denying will set result.value to false."
#imageUrl undefined,Add a customized icon for the popup. Should contain a string with the path or URL to the image.
#imageWidth undefined,"If imageUrl is set, you can specify imageWidth to describes image width. Can be in any CSS unit (px, em/rem, %)."
#imageHeight undefined,"Custom image height. Can be in any CSS unit (px, em/rem, %)."
#imageAlt '',An alternative text for the custom image icon.
#inputLabel '',Input field label.
#inputPlaceholder '',Input field placeholder.
#inputValue '',"Input field initial value. If the input type is select, inputValue will represent the selected <option> tag. If the input type is checkbox, inputValue will represent the checked state. If the input type is email, number, tel,text, email, number, telor textarea, a Promise can be accepted as inputValue."
#inputOptions,"If input parameter is set to ""select"" or ""radio"", you can provide options. Can be a Map or a plain object, with keys that represent option values and values that represent option text. You can also provide plain object or Map as values that will represented a group of options, being the label of this <optgroup> the key. Finally, you can also provide a Promise that resolves with one of those types."
#inputAutoFocus true,Automatically focus the input when popup is shown. Set this parameter to false to disable auto-focusing.
#inputAutoTrim true,Automatically remove whitespaces from both ends of a result string. Set this parameter to false to disable auto-trimming.
#inputAttributes,"HTML input attributes (e.g. min, max, autocomplete, accept), that are added to the input field. Object keys will represent attributes names, object values will represent attributes values."
#inputValidator undefined,"Validator for input field, may be async (Promise-returning) or sync. Returned (or resolved) value can be:a falsy value (undefined, null,false) for indicating successa string value (error message) for indicating failureSee usage example."
#validationMessage undefined,"A custom validation message for default validators (email, url)."
#progressSteps [],"Progress steps, useful for queues."
#currentProgressStep undefined,Current active progress step.
#progressStepsDistance undefined,"Distance between progress steps. Can be in any CSS unit (px, em/rem, %)."
#didRender undefined,"Popup lifecycle hook. Synchronously runs after the popup DOM has been updated (i.e. just before the popup is repainted on the screen). didRender is called before willOpen. Provides popup DOM element as the argument. Typically, this will happen after Swal.fire() or Swal.update(). If you want to perform changes in the popup's DOM, that survive Swal.update(), preferdidRender over willOpen. In previous versions, this hook was named onRender."
#willOpen undefined,"Popup lifecycle hook. Synchronously runs before the popup is shown on screen. Provides popup DOM element as the argument. In previous versions, this hook was named onBeforeOpen."
#didOpen undefined,"Popup lifecycle hook. Asynchronously runs after the popup has been shown on screen. Provides popup DOM element as the argument. In previous versions, this hook was named onOpen."
#willClose undefined,"Popup lifecycle hook. Synchronously runs when the popup closes by user interaction (and not due to another popup being fired). Provides popup DOM element as the argument. In previous versions, this hook was named onClose."
#didClose undefined,"Popup lifecycle hook. Asynchronously runs after the popup has been disposed by user interaction (and not due to another popup being fired). In previous versions, this hook was named onAfterClose."
#didDestroy undefined,"Popup lifecycle hook. Synchronously runs after popup has been destroyed either by user interaction or by another popup. If you have cleanup operations that you need to reliably execute each time a popup is closed, preferdidDestroy over didClose. In previous versions, this hook was named onDestroy."
